ID ,Traffic Volume Count Location  Address,Street,Date of Count,Total Passing Vehicle Volume,Vehicle Volume By Each Direction of Traffic
574,206 South,Cicero Ave,10/23/2006,33700,North Bound: 16800 / South Bound: 16900
120,7328 South,Halsted St,3/21/2006,16700,North Bound: 8800 / South Bound: 7900
1152,5410 South,State St,10/11/2006,20500,North Bound: 11900 / South Bound: 8600
769,2318 North,Sacramento Ave,10/9/2006,18400,North Bound: 9800 / South Bound: 8600
1127,30 South,Michigan Ave,11/7/2006,46500,North Bound: 25400 / South Bound: 21100
860,5601 North,Central Ave,8/22/2006,18800,North Bound: 9700 / South Bound: 9100
1140,1445 North,Pulaski Rd,10/4/2006,19600,North Bound: 10000 / South Bound: 9600
1255,1803 East,71st St,10/11/2006,9900,East Bound: 4700 / West Bound: 5200
1375,352 West,101st St,10/4/2006,6800,East Bound: 4100 / West Bound: 2700
366,8620 South,Summit Ave,5/9/2006,6200,North Bound: 3500 / South Bound: 2700
980,1140 West,Irving Park Rd,8/31/2006,26200,East Bound: 14100 / West Bound: 12100
1028,1533 North,Kostner Ave,9/6/2006,10600,North Bound: 5400 / South Bound: 5200
1322,7324 South,Vincennes Ave,10/4/2006,24100,North Bound: 11100 / South Bound: 13000
962,1111 West,Belmont Ave,10/16/2006,20900,East Bound: 10400 / West Bound: 10500
805,20 West,Division St,9/21/2006,18700,East Bound: 9200 / West Bound: 9500
1179,3242 West,Ogden Ave,11/2/2006,26200,East Bound: 12700 / West Bound: 13500
888,7317 North,Harlem Ave,8/15/2006,26100,North Bound: 13100 / South Bound: 13000
1099,573 North,Halsted St,9/18/2006,19000,North Bound: 9000 / South Bound: 10000
840,40 West,115th St,8/29/2006,11700,East Bound: 5700 / West Bound: 6000
1122,1631 South,Michigan Ave,10/17/2006,22500,North Bound: 12500 / South Bound: 10000
1023,891 South,Damen Ave,8/16/2006,31400,North Bound: 15300 / South Bound: 16100
1356,435 South,Congress Plaza Dr,9/26/2006,7500,North Bound: 6400 / South Bound: 1100
331,520 East,Morgan Dr,3/28/2006,28200,East Bound: 14400 / West Bound: 13800
288,1623 South,Blue Island Ave,3/30/2006,5200,North Bound: 2100 / South Bound: 3100
1212,3837 West,Lake St,10/19/2006,13100,East Bound: 5700 / West Bound: 7400
930,4632 West,Diversey Ave,8/10/2006,23000,East Bound: 11700 / West Bound: 11300
381,5250 South,Lake Shore Dr,4/5/2006,111600,North Bound: 52400 / South Bound: 59200
1266,5454 South,Lake Park Ave,9/20/2006,21600,North Bound: 10500 / South Bound: 11100
34,7509 South,Damen Ave,3/2/2006,12300,North Bound: 5600 / South Bound: 6700
47,1407 South,Indiana Ave,5/2/2006,8300,North Bound: 4900 / South Bound: 3400
1314,1500 West,95th St,8/24/2006,34300,East Bound: 16200 / West Bound: 18100
643,2827 North,Pulaski Rd,11/20/2006,23900,North Bound: 11400 / South Bound: 12500
183,540 West,79th Street,3/28/2006,19200,East Bound: 10500 / West Bound: 8700
882,7102 West,Grand Ave,11/15/2006,19200,East Bound: 8900 / West Bound: 10300
604,5411 South,Damen Ave,10/11/2006,14000,North Bound: 7900 / South Bound: 6100
425,1050 West,Hollywood Ave,6/19/2007,35200,East Bound: 18200 / West Bound: 17000
326,271 East,Balbo Dr,4/26/2006,12400,East Bound: 4500 / West Bound: 7900
86,7539 South,State St,3/28/2006,12500,North Bound: 12500 / / Oneway North Bound
460,19 West,Jackson Blvd,9/28/2006,10100,East Bound: 10100 / / Oneway East Bound 
216,537 West,103rd Street,3/28/2006,18700,East Bound: 11000 / West Bound: 7700
441,3534 West,Wrightwood Ave,10/16/2006,10600,East Bound: 4900 / West Bound: 5700
744,163 North,Dearborn St,9/26/2006,14100,North Bound: 14100 / / Oneway North Bound 
675,4472 North,Clarendon St,10/4/2006,4700,North Bound: 2500 / South Bound: 2200
465,27 West,Washington St,9/26/2006,14300,East Bound: 14300 / / Oneway East Bound 
304,840 East,Marquette Rd,4/27/2006,14200,East Bound: 7400 / West Bound: 6800
850,3521 North,Austin Ave,10/25/2006,21700,North Bound: 10600 / South Bound: 11100
26,2259 South,Damen Ave,3/2/2006,14800,North Bound: 8000 / South Bound: 6800
159,9927 South,Longwood Dr,3/21/2006,5300,North Bound: 2700 / South Bound: 2600
188,1715 West,83rd Street,3/23/2006,12100,East Bound: 6100 / West Bound: 6000
877,6916 West,Forest Preserve Ave,8/23/2006,23900,East Bound: 12300 / West Bound: 11600
786,715 South,Kedzie Ave,10/10/2006,16300,North Bound: 8800 / South Bound: 7500
41,7718 South,Dr Martin Luther King Jr Dr,2/28/2006,16700,North Bound: 7900 / South Bound: 8800
1338,410 West,Madison St,10/3/2006,17100,West Bound: 17100/ Oneway West Bound 
110,996 South,Clark St,3/22/2006,22600,North Bound: 12500 / South Bound: 10100
986,2136 North,Lincoln Ave,8/29/2006,14400,North Bound: 7200 / South Bound: 7200
505,2324 West,Warren Blvd,11/15/2006,6500,East Bound: 6500 / / Oneway East Bound
254,2017 West,35th St,3/29/2006,15200,East Bound: 7800 / West Bound: 7400
915,3636 West,Armitage Ave,8/9/2006,18000,East Bound: 8900 / West Bound: 9100
609,3030 South,Kostner Ave,9/12/2006,9600,North Bound: 4400 / South Bound: 5200
523,5025 West,Armitage Ave,8/10/2006,9700,East Bound: 4200 / West Bound: 5500
1112,1026 West,Jackson Blvd,9/19/2006,8600,West Bound: 8600/ Oneway West Bound 
280,2635 West,59th Street,3/28/2006,13400,East Bound: 6600 / West Bound: 6800
221,2230 West,Garfield Blvd,3/15/2006,28800,East Bound: 14300 / West Bound: 14500
393,12054 South,Wentworth Ave,8/29/2006,3100,North Bound: 1400 / South Bound: 1700
81,1420 South,State St,5/2/2006,23100,North Bound: 13500 / South Bound: 9600
670,4055 North,Cicero Ave,8/9/2006,31500,North Bound: 15800 / South Bound: 15700
947,2932 West,North Ave,10/17/2006,33900,East Bound: 16800 / West Bound: 17100
920,4621 West,Belmont Ave,10/16/2006,25300,East Bound: 12500 / West Bound: 12800
471,3900 West,79th St,8/15/2006,32000,East Bound: 15900 / West Bound: 16100
115,1302 South,Halsted St,3/21/2006,13400,North Bound: 5900 / South Bound: 7500
361,7409 South,Parnell Ave,10/4/2006,1200,South Bound: 1200/ Oneway South Bound 
1274,6613 North,Caldwell Ave,8/8/2006,19900,North Bound: 9800 / South Bound: 10100
714,1230 North,Clybourn Ave,10/23/2006,15000,North Bound: 7800 / South Bound: 7200
626,1640 North,Pulaski Rd,11/1/2006,19300,North Bound: 10700 / South Bound: 8600
561,4040 West,Ogden St,11/15/2006,20500,East Bound: 10200 / West Bound: 10300
894,3400 North,Laramie Ave,10/23/2006,15900,North Bound: 8200 / South Bound: 7700
957,612 West,Armitage Ave,11/16/2006,13800,East Bound: 7700 / West Bound: 6100
1251,505 East,Pershing Rd,10/11/2006,12400,East Bound: 6000 / West Bound: 6400
499,1880 West,Adams St,10/5/2006,3500,West Bound: 3500/ Oneway West Bound 
532,537 South,Dearborn St,9/19/2006,11500,North Bound: 11500 / / Oneway North Bound 
1307,1242 West,103rd St,8/24/2006,16900,East Bound: 8300 / West Bound: 8600
1166,2550 West,31st St,10/11/2006,14900,East Bound: 7000 / West Bound: 7900
1107,6135 South,Indiana Ave,10/11/2006,4200,North Bound: 4200 / / Oneway North Bound 
816,3254 West,115th St,8/22/2006,15500,East Bound: 8100 / West Bound: 7400
731,1234 West,Randolph St,10/5/2006,6000,West Bound: 6000/ Oneway West Bound
1292,646 West,103rd St,9/6/2006,21000,East Bound: 10900 / West Bound: 10100
594,7829 South,Damen Ave,10/11/2006,23700,North Bound: 9800 / South Bound: 13900
1217,230 East,Ontario St,10/31/2006,13400,West Bound: 13400/ Oneway West Bound 
764,1659 South,Homan Ave,9/14/2006,5100,North Bound: 3200 / South Bound: 1900
494,3947 West,Jackson Blvd,10/18/2006,13300,East Bound: 6600 / West Bound: 6700
910,7252 West,Touhy Ave,8/15/2006,25200,East Bound: 13300 / West Bound: 11900
355,1161 South,Columbus Dr,9/21/2006,37800,North Bound: 19600 / South Bound: 18200
1047,344 West,63rd St,9/20/2006,10800,East Bound: 5100 / West Bound: 5700
1089,420 West,Division St,9/21/2006,32700,East Bound: 16500 / West Bound: 16200
314,412 West,Roosevelt Rd,4/25/2006,41300,East Bound: 19200 / West Bound: 22100
248,1139 West,31st St,3/30/2006,8200,East Bound: 4100 / West Bound: 4100
1195,4101 West,79th St,8/15/2006,36900,East Bound: 18400 / West Bound: 18500
558,3313 West,Lawrence Ave,8/16/2006,21000,East Bound: 9700 / West Bound: 11300
801,890 West,Lawrence Ave,10/31/2006,14500,East Bound: 7700 / West Bound: 6800
621,190 South,Laramie Ave,10/23/2006,21100,North Bound: 11400 / South Bound: 9700
748,156 North,Jefferson St,10/2/2006,8300,North Bound: 8300 / / Oneway North Bound
1177,3425 South,Kedzie Ave,8/10/2006,32800,North Bound: 15300 / South Bound: 17500
1334,291 North,Franklin St,10/2/2006,12600,North Bound: 12600 / / Oneway North Bound
942,2230 North,Kostner Ave,9/6/2006,12500,North Bound: 6600 / South Bound: 5900
1232,5323 South,Ashland Ave,11/15/2006,35500,North Bound: 17900 / South Bound: 17600
1371,3229 South,Ashland Ave,8/24/2006,40900,North Bound: 22100 / South Bound: 18800
1360,180 East,Lake St,11/7/2006,4600,East Bound: 4600 / / Oneway East Bound
347,9943 South,Beverly Ave,3/28/2006,11900,North Bound: 5700 / South Bound: 6200
697,200 South,Michigan Ave,9/26/2006,39000,North Bound: 22400 / South Bound: 16600
1019,350 South,Western Ave,10/24/2006,33900,North Bound: 17400 / South Bound: 16500
1094,242 East,Grand Ave,11/15/2006,16400,West Bound: 16400/ Oneway West Bound 
178,1716 East,76th St,3/28/2006,8600,East Bound: 4300 / West Bound: 4300
660,3260 North,Western Ave (over pass),10/24/2006,32100,North Bound: 15700 / South Bound: 16400
1210,4740 South,Kedzie Ave,8/22/2006,34700,North Bound: 17400 / South Bound: 17300
1148,1635 South,State St,10/17/2006,22400,North Bound: 12700 / South Bound: 9700
1200,4401 South,Archer Ave,8/10/2006,30500,North Bound: 14200 / South Bound: 16300
1327,350 North,Michigan Lower Ave,9/21/2006,18200,North Bound: 11500 / South Bound: 6700
780,6719 North,Ashland Ave,8/25/2006,4800,North Bound: 2700 / South Bound: 2100
1053,2224 South,Archer Ave,10/19/2006,15300,North Bound: 8100 / South Bound: 7200
437,5400 West,Fullerton Ave,8/17/2006,37900,East Bound: 21300 / West Bound: 16600
13,9730 South,Commercial Ave,3/7/2006,9000,North Bound: 4000 / South Bound: 5000
1185,1837 South,Western Ave,8/22/2006,41500,North Bound: 22400 / South Bound: 19100
211,206 East,95th Street,3/28/2006,30400,East Bound: 16400 / West Bound: 14000
1082,1508 North,Damen Ave,8/16/2006,16300,North Bound: 8300 / South Bound: 8000
421,13101 South,Brainard Ave,11/8/2006,16200,North Bound: 8000 / South Bound: 8200
67,5424 South,Lake Park Ave,3/8/2006,18200,North Bound: 8900 / South Bound: 9300
1227,1828 West,79th St,10/4/2006,23700,East Bound: 12700 / West Bound: 11000
388,11750 South,State St,8/31/2006,7800,North Bound: 4100 / South Bound: 3700
192,1240 East,83rd Street,3/23/2006,15600,East Bound: 7800 / West Bound: 7800
638,2851 North,Southport Ave,10/16/2006,8600,North Bound: 4400 / South Bound: 4200
163,2237 West,63rd Street,3/28/2006,18000,East Bound: 8700 / West Bound: 9300
937,3842 West,Irving Park Rd,8/2/2006,46500,East Bound: 23600 / West Bound: 22900
655,3647 North,Cicero Ave,10/11/2006,38500,North Bound: 20700 / South Bound: 17800
845,2950 West,83rd St,8/17/2006,12200,East Bound: 4700 / West Bound: 7500
455,1650 West,North Ave,10/18/2006,20900,East Bound: 10400 / West Bound: 10500
1207,4464 North,Elston Ave,8/10/2006,17800,North Bound: 9600 / South Bound: 8200
538,210 South,Des Plaines St,10/4/2006,6300,South Bound: 6300/ Oneway South Bound
1062,64 North,Central Park Ave,10/12/2006,12500,North Bound: 5700 / South Bound: 6800
925,2027 North,California Ave,10/9/2006,16100,North Bound: 8600 / South Bound: 7500
129,10748 South,Vincennes Ave,3/21/2006,18000,North Bound: 8800 / South Bound: 9200
360,11043 South,Longwood Dr,8/24/2006,6700,North Bound: 2500 / South Bound: 4200
509,1926 West,Grand Ave,10/23/2006,19600,East Bound: 9700 / West Bound: 9900
284,124 West,59th Street,3/28/2006,8900,East Bound: 4100 / West Bound: 4800
952,3915 West,Roosevelt Rd,10/19/2006,23900,East Bound: 11200 / West Bound: 12700
1252,723 East,43rd St,10/12/2006,7600,East Bound: 3900 / West Bound: 3700
1108,2500 West,Jackson Blvd,10/5/2006,6000,East Bound: 2700 / West Bound: 3300
1169,2444 South,Blue Island Ave,8/17/2006,22100,East Bound: 10300 / West Bound: 11800
527,624 West,Division St,9/21/2006,22100,East Bound: 11300 / West Bound: 10800
146,9348 South,Stony Island Ave,3/9/2006,47900,North Bound: 24300 / South Bound: 23600
249,315 West,31st St,5/4/2006,16100,East Bound: 8100 / West Bound: 8000
371,5121 South,Woodlawn Ave,5/4/2006,8100,North Bound: 4000 / South Bound: 4100
1003,5937 West,Augusta Blvd,10/18/2006,8600,East Bound: 3800 / West Bound: 4800
93,3430 South,Archer Ave,3/8/2006,23400,North Bound: 11300 / South Bound: 12100
597,6224 South,Pulaski Rd,8/15/2006,52300,North Bound: 27500 / South Bound: 24800
812,1345 West,107th St,8/24/2006,7900,East Bound: 4000 / West Bound: 3900
1278,5040 North,Pulaski Rd,10/18/2006,24500,North Bound: 11900 / South Bound: 12600
217,112 West,103rd Street,3/22/2006,18600,East Bound: 11100 / West Bound: 7500
577,909 West,Foster Ave,8/24/2006,20200,East Bound: 10000 / West Bound: 10200
718,11021 South,Ashland Ave,8/24/2006,2000,North Bound: 2000 / / Oneway North Bound
970,2620 North,Clybourn Ave,10/23/2006,17300,North Bound: 9100 / South Bound: 8200
736,641 North,Clark St,9/28/2006,21200,South Bound: 21200/ Oneway South Bound 
1162,55 West,Wacker Dr,11/7/2006,29900,East Bound: 13700 / West Bound: 16200
515,3045 West,Division St,10/18/2006,16600,East Bound: 8100 / West Bound: 8500
688,7254 North,Rogers Ave,9/18/2006,7600,North Bound: 3700 / South Bound: 3900
565,5103 West,North Ave,10/18/2006,36500,East Bound: 18400 / West Bound: 18100
683,5237 North,Kedzie Ave,8/24/2006,14700,North Bound: 7700 / South Bound: 7000
528,250 West,127th St,8/29/2006,25700,East Bound: 12200 / West Bound: 13500
1311,2958 West,115th St,8/22/2006,12600,East Bound: 6700 / West Bound: 5900
1093,1475 West,Grand Ave,10/23/2006,19700,East Bound: 10500 / West Bound: 9200
1304,10040 South,Michigan Ave,9/6/2006,11400,North Bound: 6600 / South Bound: 4800
634,2900 North,Lake Shore Inner Dr,9/18/2006,4700,North Bound: 1100 / South Bound: 3600
1119,1061 West,Madison St,9/19/2006,15800,East Bound: 7400 / West Bound: 8400
1043,52 East,31st St,10/18/2006,11700,East Bound: 6100 / West Bound: 5600
1244,6806 South,Racine Ave,10/11/2006,14300,North Bound: 7600 / South Bound: 6700
588,8210 South,Exchange Ave,10/18/2006,9700,North Bound: 4300 / South Bound: 5400
236,4411 South,Racine Ave,3/23/2006,6700,North Bound: 3400 / South Bound: 3300
759,6335 South,Central Ave,9/12/2006,15700,North Bound: 7200 / South Bound: 8500
114,700 South,Halsted St,3/21/2006,15600,North Bound: 6700 / South Bound: 8900
667,3733 North,Clark St,7/26/2006,12600,North Bound: 6000 / South Bound: 6600
904,2890 North,Narragansett Ave,10/26/2006,24900,North Bound: 10100 / South Bound: 14800
426,5333 North,Sheridan Ave,10/12/2006,12500,North Bound: 6300 / South Bound: 6200
1203,4310 South,Cicero Ave,10/23/2006,67200,North Bound: 33600 / South Bound: 33600
694,6516 North,Harlem Ave,8/16/2006,31800,North Bound: 15400 / South Bound: 16400
1364,133 East,Wacker Lower Dr,9/19/2006,34200,East Bound: 14100 / West Bound: 20100
1071,613 North,Clark St,9/27/2006,17300,South Bound: 17300/ Oneway South Bound 
1188,3457 West,51st St,8/10/2006,14600,East Bound: 6700 / West Bound: 7900
1058,1824 West,Augusta Blvd,10/18/2006,18900,East Bound: 9700 / West Bound: 9200
752,10347 South,Cottage Grove Ave,10/4/2006,13700,North Bound: 7400 / South Bound: 6300
554,3283 West,Wrightwood Ave,9/21/2006,10000,East Bound: 4500 / West Bound: 5500
1239,1321 West,Marquette Rd,10/11/2006,15400,East Bound: 7400 / West Bound: 8000
1350,443 South,Federal St,9/21/2006,2000,North Bound: 700 / South Bound: 1300
795,745 North,Fairbanks Ct,10/31/2006,10700,North Bound: 6400 / South Bound: 4300
1367,1730 East,57th Dr,8/24/2006,53500,East Bound: 27800 / West Bound: 25700
1331,299 North,Clark St,11/8/2006,18700,South Bound: 18700/ Oneway South Bound 
1220,8451 South,Pulaski Rd,10/4/2006,33800,North Bound: 16500 / South Bound: 17300
701,267 North,Central Park Ave,11/13/2006,8800,North Bound: 4300 / South Bound: 4500
1288,11027 South,Dr Martin Luther King Jr Dr,8/31/2006,8900,North Bound: 4500 / South Bound: 4400
1143,908 West,Randolph St,10/5/2006,9300,West Bound: 9300/ Oneway West Bound
1130,660 North,Ogden Ave,10/17/2006,20900,North Bound: 7000 / South Bound: 13900
495,2345 West,Jackson Blvd,10/5/2006,4900,East Bound: 3300 / West Bound: 1600
1057,3654 West,Augusta Blvd,10/18/2006,11100,East Bound: 5500 / West Bound: 5600
196,1720 West,87th Street,3/23/2006,29500,East Bound: 15200 / West Bound: 14300
981,2032 West,Irving Park Rd,8/24/2006,41200,East Bound: 21100 / West Bound: 20100
776,4762 North,East River Rd,8/17/2006,14000,North Bound: 6500 / South Bound: 7500
17,6144 South,Cottage Grove Ave,3/1/2006,20900,North Bound: 10300 / South Bound: 10600
151,3010 East,92nd St,5/5/2006,28500,East Bound: 2100 / West Bound: 26400
1078,85 West,Congress Pkwy,9/27/2006,72400,East Bound: 36200 / West Bound: 36200
612,2501 South,Hamlin Ave,9/14/2006,3200,South Bound: 3200/ Oneway South Bound 
1346,411 South,Wells St,9/19/2006,9900,South Bound: 9900/ Oneway South Bound 
53,3654 South,Indiana Ave,3/2/2006,6000,North Bound: 6000 / / Oneway North Bound
841,2430 West,Ogden Ave,11/2/2006,29900,East Bound: 15800 / West Bound: 14100
403,4923 West,Grand Ave,10/23/2006,12500,East Bound: 5900 / West Bound: 6600
542,210 South,Clark St,9/20/2006,16500,South Bound: 16500/ Oneway South Bound 
650,7825 West,Forest Preserve Ave,10/25/2006,16000,East Bound: 7500 / West Bound: 8500
156,9621 South,Avenue L,3/21/2006,5000,North Bound: 3200 / South Bound: 1800
89,9940 South,State St,5/2/2006,7300,North Bound: 4400 / South Bound: 2900
150,2936 East,92nd St,5/4/2006,41300,East Bound: 3700 / West Bound: 37600
375,2701 West,Pope John Paul II,5/9/2006,7000,West Bound: 7000/ Oneway West Bound
263,450 East,43rd St,4/25/2006,8900,East Bound: 4500 / West Bound: 4400
124,7925 South,Vincennes Ave,3/29/2006,21200,North Bound: 9700 / South Bound: 11500
270,929 West,51st Street,3/29/2006,8900,East Bound: 4300 / West Bound: 4600
1299,10928 South,Avenue O,10/18/2006,12400,North Bound: 7000 / South Bound: 5400
854,5532 West,Belmont Ave,10/16/2006,23100,East Bound: 12500 / West Bound: 10600
5,920 West,71st Street,2/28/2006,18200,East Bound: 8800 / West Bound: 9400
1174,4550 West,Cermak Rd,9/12/2006,24000,East Bound: 12200 / West Bound: 11800
1008,815 South,Cicero Ave,10/26/2006,35200,North Bound: 17800 / South Bound: 17400
1341,380 West,Jackson Blvd,9/28/2006,14300,East Bound: 14300 / / Oneway East Bound 
294,20 West,Cermak Rd,4/25/2006,19900,East Bound: 9500 / West Bound: 10400
678,4810 North,Milwaukee Ave,1/9/2007,27600,North Bound: 11600 / South Bound: 16000
392,12007 South,State St,8/31/2006,6300,North Bound: 3100 / South Bound: 3200
867,5850 North,Cumberland Ave,8/17/2006,49400,North Bound: 27100 / South Bound: 22300
229,6628 South,Loomis St,3/9/2006,5500,North Bound: 2500 / South Bound: 3000
547,2939 West,63rd St,8/15/2006,22200,East Bound: 10500 / West Bound: 11700
340,754 West,Harrison St,4/26/2006,11000,East Bound: 5600 / West Bound: 5400
991,929 West,North Ave,10/16/2006,28000,East Bound: 13600 / West Bound: 14400
581,5665 West,Bryn Mawr Ave,9/18/2006,8900,East Bound: 3800 / West Bound: 5100
704,220 North,Western Ave,10/24/2006,34400,North Bound: 16800 / South Bound: 17600
825,2432 West,Irving Park Rd,8/30/2006,42100,East Bound: 22300 / West Bound: 19800
1137,928 North,Pulaski Rd,10/4/2006,23900,North Bound: 12400 / South Bound: 11500
1262,7245 South,Jeffery Ave,9/6/2006,25900,North Bound: 13100 / South Bound: 12800
432,2700 West,Roosevelt Rd,10/19/2006,18300,East Bound: 8200 / West Bound: 10100
1115,2335 West,Lake St,10/19/2006,7700,East Bound: 4300 / West Bound: 3400
601,5410 South,Cicero Ave,8/2/2006,71200,North Bound: 37700 / South Bound: 33500
1156,839 West,Van Buren St,9/19/2006,10500,East Bound: 3000 / West Bound: 7500
1283,124 East,127th St,8/29/2006,28700,East Bound: 14200 / West Bound: 14500
723,6257 West,Belmont Ave,10/16/2006,24400,East Bound: 12900 / West Bound: 11500
1106,2128 South,Indiana Ave,10/17/2006,11200,North Bound: 6600 / South Bound: 4600
1259,3836 South,Cottage Grove Ave,10/17/2006,11100,North Bound: 5600 / South Bound: 5500
569,6330 West,Touhy Ave,8/15/2006,33700,East Bound: 17100 / West Bound: 16600
1024,4435 West,Division St,10/18/2006,17400,East Bound: 8700 / West Bound: 8700
1281,714 West,115th St,8/29/2006,12200,East Bound: 5500 / West Bound: 6700
834,2458 West,Augusta Blvd,10/18/2006,11400,East Bound: 5500 / West Bound: 5900
856,6845 West,Belmont Ave,10/16/2006,24200,East Bound: 12800 / West Bound: 11400
710,840 North,Halsted St,9/18/2006,23100,North Bound: 11200 / South Bound: 11900
773,3152 North,Milwaukee Ave,8/22/2006,16800,North Bound: 7000 / South Bound: 9800
956,1851 West,Armitage Ave,8/9/2006,21000,East Bound: 10500 / West Bound: 10500
996,4926 North,Sheridan Rd,10/11/2006,8800,North Bound: 4700 / South Bound: 4100
975,1614 West,Diversey Ave,8/10/2006,22400,East Bound: 11200 / West Bound: 11200
1,2523 West,71st Street,2/28/2006,14600,East Bound: 7800 / West Bound: 6800
327,530 East,Best Dr,4/26/2006,5600,East Bound: 2600 / West Bound: 3000
1224,2122 West,35th St,9/26/2006,10700,East Bound: 4800 / West Bound: 5900
447,1303 West,Wilson Ave,9/26/2006,12700,East Bound: 6300 / West Bound: 6400
1037,803 South,Racine Ave,9/20/2006,14400,North Bound: 6800 / South Bound: 7600
809,2250 East,130th St,11/8/2006,23000,East Bound: 12600 / West Bound: 10400
1352,406 South,Plymouth CT,9/19/2006,3500,North Bound: 1900 / South Bound: 1600
663,3232 North,Halsted St,10/16/2006,22100,North Bound: 11700 / South Bound: 10400
461,15 West,Adams St,10/3/2006,11200,West Bound: 11200/ Oneway West Bound
552,3260 West,Warren Blvd,10/5/2006,5900,East Bound: 5900 / / Oneway East Bound
1235,3402 South,Damen Ave,8/17/2006,27600,North Bound: 12200 / South Bound: 15400
466,24 West,Randolph St,9/19/2006,18000,West Bound: 18000/ Oneway West Bound 
1192,4410 West,63rd St,8/15/2006,23500,East Bound: 11000 / West Bound: 12500
1318,10552 South,Western Ave,9/6/2006,37700,North Bound: 19800 / South Bound: 17900
887,5898 North,Harlem Ave,8/15/2006,32700,North Bound: 15500 / South Bound: 17200
189,1101 West,83rdStreet,3/28/2006,15100,East Bound: 7800 / West Bound: 7300
39,5450 South,Dr Martin Luther King Jr Dr,2/28/2006,11800,North Bound: 5600 / South Bound: 6200
42,9243 South,Dr Martin Luther King Jr Dr,2/28/2006,15500,North Bound: 7800 / South Bound: 7700
1374,350 West,97th St,10/4/2006,3900,East Bound: 1900 / West Bound: 2000
170,175 West,75th Street,3/28/2006,17600,East Bound: 7200 / West Bound: 10400
292,234 West,Cermak Rd,5/9/2006,16700,East Bound: 6400 / West Bound: 10300
58,6841 South,Jeffery Blvd,5/4/2006,23700,North Bound: 11300 / South Bound: 12400
924,3765 North,California Ave,11/16/2006,13500,North Bound: 6900 / South Bound: 6600
184,20 East,79th St,3/28/2006,20700,East Bound: 11300 / West Bound: 9400
804,22 West,Congress Pkwy,9/27/2006,62700,East Bound: 29900 / West Bound: 32800
308,1431 West,Pershing Rd,4/25/2006,19500,East Bound: 9500 / West Bound: 10000
79,2425 East,South Shore Dr,3/9/2006,17300,North Bound: 8600 / South Bound: 8700
616,1531 South,Kostner Ave,9/14/2006,19500,North Bound: 8800 / South Bound: 10700
203,2040 East,87th Street,3/28/2006,14100,East Bound: 6700 / West Bound: 7400
740,4306 West,26th St,9/12/2006,8400,East Bound: 4500 / West Bound: 3900
325,77 East,Balbo Ave,4/26/2006,10500,East Bound: 4200 / West Bound: 6300
21,8800 South,Cottage Grove Ave,3/1/2006,22400,North Bound: 11100 / South Bound: 11300
481,4733 West,Lake St,10/19/2006,16100,East Bound: 6600 / West Bound: 9500
171,46 East,75th St,5/9/2006,11700,East Bound: 5900 / West Bound: 5800
407,1423 West,Lake St,10/19/2006,9700,East Bound: 5400 / West Bound: 4300
790,194 North,Damen Ave,11/1/2006,18800,North Bound: 10400 / South Bound: 8400
646,2836 North,Laramie Ave,10/23/2006,15500,East Bound: 7900 / West Bound: 7600
628,1646 North,Laramie Ave,11/13/2006,13200,North Bound: 6700 / South Bound: 6500
1243,4550 South,Racine Ave,10/19/2006,9000,North Bound: 4400 / South Bound: 4600
881,5835 West,Fullerton Ave,8/17/2006,37100,East Bound: 18400 / West Bound: 18700
605,4647 South,Archer Ave,10/11/2006,33300,North Bound: 16400 / South Bound: 16900
973,4855 North,Damen Ave,8/16/2006,12100,North Bound: 6000 / South Bound: 6100
1048,253 East,63rd St,9/20/2006,17900,East Bound: 9400 / West Bound: 8500
199,551 West,87th Street,3/28/2006,28600,East Bound: 14900 / West Bound: 13700
459,25 West,Van Buren St,9/20/2006,7400,West Bound: 7400/ Oneway West Bound 
1083,50 North,Damen Ave,8/16/2006,18200,North Bound: 10100 / South Bound: 8100
745,175 North,Clark St,9/28/2006,14500,South Bound: 14500/ Oneway South Bound 
214,3502 East,95th Street,3/28/2006,16800,East Bound: 8600 / West Bound: 8200
436,5301 West,Irving Park Rd,8/24/2006,34500,East Bound: 16800 / West Bound: 17700
789,338 South,Homan Ave,9/27/2006,15000,North Bound: 7700 / South Bound: 7300
27,2566 South,Damen Ave,5/9/2006,28000,North Bound: 13800 / South Bound: 14200
57,6602 South,Jeffery Blvd,3/8/2006,21200,North Bound: 10600 / South Bound: 10600
911,71 South,Wacker Dr,9/19/2006,21200,North Bound: 11100 / South Bound: 10100
1214,2822 West,Marquette St,8/22/2006,17600,East Bound: 8800 / West Bound: 8800
833,2845 West,Division St,10/18/2006,18200,East Bound: 9200 / West Bound: 9000
315,52 East,Roosevelt RD,5/4/2006,33200,East Bound: 16600 / West Bound: 16600
802,11159 South,Longwood Dr,8/24/2006,5400,North Bound: 2500 / South Bound: 2900
943,2925 West,Lawrence Ave,10/31/2006,23400,East Bound: 11400 / West Bound: 12000
889,5731 West,Higgins Ave,8/22/2006,10200,East Bound: 5500 / West Bound: 4700
620,211 South,Central Ave,10/18/2006,25400,North Bound: 10900 / South Bound: 14500
765,323 South,Central Ave,10/18/2006,26600,North Bound: 12800 / South Bound: 13800
622,857 West,Austin Ave,10/26/2006,24800,North Bound: 11900 / South Bound: 12900
320,1621 East,57th St,3/28/2006,39500,East Bound: 19300 / West Bound: 20200
1029,750 South,Kostner Ave,9/5/2006,17500,North Bound: 8900 / South Bound: 8600
